S.No.,District,Specific Black Spots,Black Spot Code,Latitude,Longitude,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023- Predicted,Total Fatalities,Priority Order,Reason
51,Salem,Akkamapet Mangarangampalayam,TN-051,11.5240,77.9495,31,18,26,0,9,38,0,7,38,8,47,27,21,249,Priority 2,car crash
52,Salem,11 K.Ms,TN-052,11.6639,78.1467,41,38,27,56,35,34,52,22,0,2,12,22,28,341,Priority 1,drunk and drive
53,Sivagangai,TPVM EB Office Near,TN-053,11.5957,78.5876,0,26,24,1,10,8,0,13,0,0,2,11,8,95,Priority 3,sudden brake
54,Thanjavur,"Thirumalai Samudram, Sastra Uni",TN-054,10.7307,79.0172,0,11,0,0,0,8,5,0,31,2,0,13,6,70,Priority 5,over speeding
55,Thanjavur,Min Nagar Junction,TN-055,10.6993,78.6942,0,0,15,0,18,0,0,56,2,26,28,35,15,180,Priority 5,rash riding
56,Thanjavur,Mariamman Koil Bypass,TN-056,10.2815,78.3744,0,0,15,6,25,28,2,9,0,4,33,0,10,122,Priority 5,out of control 
57,Theni,10 Km Thannansali,TN-057,9.5936,77.7460,0,14,11,0,46,10,3,7,1,39,12,37,15,180,Priority 4,signal fault
58,Thiruvallur,Punchetty to Arambakkam,TN-058,13.2652,80.1537,0,19,0,7,12,33,0,28,0,2,25,8,11,134,Priority 5,car crash
59,Thiruvallur,Sholavaram,TN-059,13.2259,80.1663,0,0,21,5,3,0,64,28,9,77,19,32,22,258,Priority 4,overtaking
60,Thiruvallur,Sipcot,TN-060,13.0636,80.2613,0,0,16,2,26,12,42,35,41,1,9,24,17,208,Priority 5,rash riding
61,Thiruvallur,Kavarapettai,TN-061,13.3654,80.1395,0,0,24,2,29,0,4,17,0,6,5,18,9,105,Priority 4,vehicle blast
62,Thoothukudi,15 to 15 = 30 Km,TN-062,8.7648,78.1333,0,22,0,0,9,24,6,32,5,5,35,30,14,168,Priority 4,rash riding
63,Thoothukudi,Villiseri,TN-063,9.0481,77.8005,0,12,0,53,0,0,0,0,4,0,6,0,6,75,Priority 5,drunk and drive
64,Thoothukudi,Pudukottai,TN-064,10.3841,78.7972,0,0,26,50,14,1,0,26,12,38,13,9,16,189,Priority 4,Head on collision 
65,Trichy,Ayyappan Kovil of Vaiyampatti,TN-065,10.5511,78.3035,0,29,0,65,22,4,61,70,0,0,31,21,25,303,Priority 4,Head on collision 
66,Trichy,Manikandam,TN-066,10.7368,78.6348,0,15,0,58,11,10,0,37,8,0,14,31,15,184,Priority 5,Lorry accident 
67,Trichy,Pettavaithalai Bazaar,TN-067,10.7905,78.7047,0,12,0,0,9,22,6,11,2,0,12,43,10,117,Priority 5,out of control 
68,Trichy,Thiruverumbur ITI bus stop,TN-068,10.7854,78.7770,0,11,0,0,17,29,38,30,18,1,4,2,13,150,Priority 5,Driver fault 
69,Trichy,Kottai cut road to asoor,TN-069,10.7199,78.8468,0,13,0,0,6,12,1,0,12,60,28,52,15,184,Priority 5,car crash 
70,Trichy,Kurinji College bus stop,TN-070,10.8249,78.7056,0,0,18,0,0,22,0,30,0,0,0,18,7,88,Priority 5,Hit and Run 
71,Trichy,Kaikatti to Soriyampatti,TN-071,11.0295,78.3756,0,0,29,3,5,9,2,25,31,5,33,24,14,166,Priority 5,Bike race
72,Trichy,Malaichipuram to Thirupparaithurai,TN-072,10.8838,78.5654,0,0,11,30,34,29,4,58,0,1,15,19,17,201,Priority 5,Hit and run
73,Trichy,Pettavaithalai Bazaar,TN-073,10.9011,78.4894,0,0,21,4,15,34,0,13,15,33,31,30,16,196,Priority 4,head on collision 
74,Trichy,Thiruverumbur ITI bus stop,TN-074,10.7935,78.7377,0,0,14,77,28,0,0,54,11,5,7,12,17,208,Priority 5,drunk and drive 
75,Trichy,Anna Arch,TN-075,10.7598,78.7024,0,0,11,41,2,27,0,9,18,0,70,2,15,180,Priority 5,hit and run
76,Trichy,Chathirupatti to Cholan Nagar,TN-076,9.4146,77.5991,0,0,13,73,19,2,40,37,13,6,23,10,20,236,Priority 5,over speeding
77,Trichy,Palpannai to Check post 4,TN-077,10.8132,78.7131,0,11,0,61,16,3,1,0,37,40,70,32,23,271,Priority 5,rash driving 
78,Tiruppur,Palangarai to Tekkalur ,TN-078,11.2051,77.3016,0,23,24,0,8,56,58,17,24,0,44,4,22,258,Priority 3,signal fault 
79,Tiruppur,Chengapalli,TN-079,11.1970,77.4237,0,12,11,68,58,8,4,20,8,65,14,38,26,306,Priority 4,Brake failure
80,Tirunelveli,Vasudevanallur,TN-080,9.2396,77.4114,0,11,0,0,8,0,4,27,11,9,26,18,10,114,Priority 5,DUI
81,Tirunelveli,Kurinchikulam Villaku,TN-081,8.7744,77.7273,0,0,12,0,15,31,56,6,29,40,70,31,24,290,Priority 5,overtaking 
82,Tirunelveli,"arunthikulam, Papankulam Vilakku",TN-082,8.7792,77.4250,0,0,12,0,9,41,0,7,10,59,20,28,16,186,Priority 5,drunk and drive
83,Tirunelveli,Ponnakudi,TN-083,8.6266,77.6955,0,0,14,4,3,0,54,13,23,41,30,38,18,220,Priority 5,drunk and drive
84,Tirunelveli,Tirunelveli City,TN-084,8.7412,77.6946,0,23,0,0,54,51,0,25,17,38,35,0,20,243,Priority 4,car crash
85,Vellore,Penamugai,TN-085,12.9376,79.1858,0,13,0,51,29,1,69,70,20,1,16,16,24,286,Priority 5,lorry fault
86,Vellore,Vellore to Chennai road,TN-086,12.9139,79.3789,0,47,0,75,20,0,0,12,22,3,9,5,16,193,Priority 3,hit and run
87,Vellore,Adugandhangal Main road,TN-087,12.9597,79.0096,0,15,0,74,34,4,0,0,24,3,33,7,16,194,Priority 5,over speeding
88,Vellore,Perumbulipakkam,TN-088,12.9304,79.5152,0,0,35,1,6,26,1,10,28,1,1,16,10,125,Priority 4,bike race
89,Villupuram,Saram,TN-089,12.2808,79.7064,51,30,31,63,48,0,0,0,10,5,2,28,22,268,Priority 1,car crash
90,Villupuram,Tindivanam Junction,TN-090,12.2369,79.6499,37,8,11,3,16,21,43,33,1,4,0,28,17,205,Priority 3,Bus speed
91,Villupuram,Jakkampet,TN-091,11.9333,79.4833,77,31,38,0,23,9,0,12,11,42,33,5,23,281,Priority 1,Hit and run
92,Villupuram,Sithani,TN-092,11.6849,79.2874,50,32,21,2,54,13,56,11,30,5,13,0,24,287,Priority 1,Hit and run
93,Villupuram,Akaram Bus stop,TN-093,11.5159,79.3269,52,35,18,1,38,1,1,0,38,52,11,1,21,248,Priority 1,drunk and drive
94,Villupuram,Vridhachalam ,TN-094,10.7869,77.1743,27,6,13,1,10,26,5,35,1,0,9,6,12,139,Priority 3,car crash
95,Villupuram,Arasur Junction Bypass,TN-095,11.7357,79.7769,40,14,17,41,11,16,3,6,0,3,11,29,16,191,Priority 2,overtaking 
96,Villupuram,Kedilam road bypass,TN-096,10.7932,78.6867,29,17,29,59,15,1,0,29,22,23,27,16,22,267,Priority 2,rash riding
97,Villupuram,Salem Bypass,TN-097,11.9460,79.4974,40,14,30,40,22,6,0,34,7,4,23,11,19,231,Priority 2,signal fault 
98,Villupuram,Gingee bypass,TN-098,11.9531,79.4921,25,0,11,0,2,0,38,18,0,3,13,20,11,130,Priority 4,drunk and drive 
99,Virudhunagar,Pattampudur to SRM Polytechnic,TN-099,9.4903,77.9471,0,19,0,28,11,28,0,0,8,0,32,17,12,143,Priority 5,head on collision 
100,Virudhunagar,Thottidovanpattti Junction,TN-100,9.5950,77.9593,0,0,19,4,26,0,45,24,19,0,27,15,15,179,Priority 5,head on collision 
